Track Name,Track Artist,Track Genre,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
LUNA,"Feid, ATL Jacob","['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino
Brickell,"Feid, Yandel","['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino
CUAL ES ESA,"Feid, Pirlo","['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino
Feliz Cumpleaños Ferxxo,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino
La Bachata,Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",colombian pop,latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino
CLASSY 101,"Feid, Young Miko","['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino
Normal,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino
Una Vida Pasada,"Camilo, Carin Leon","['colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano']",colombian pop,latin pop,latin viral pop,reggaeton colombiano,,
ALAKRAN,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino
GODIVA,"Ovy On The Drums, Myke Towers, Blessd, Ryan Castro","['colombian pop', 'reggaeton colombiano', 'trap latino', 'urbano latino']",colombian pop,reggaeton colombiano,trap latino,urbano latino,,
Ferxxo 100,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino
CHORRITO PA LAS ANIMAS,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino
